warn_date,naics_code,biz,address,wia_code,total_employees,effective_date,type_code
1/10/2020,452210,Macy's,"2304 N. Salisbury Blvd Salisbury, MD 21801",5,80,3/30/2020,1
1/15/2020,493110,"IAS Logistics DFW, LLC                           d/b/a                     Pinnacle Logistics","BWI Airport                 7050 Friendship Road Baltimore, MD 21240	1",1,"1,609",4/14/2020,2
1/29/2020,493110,Collington Distribution Center,"16020 Leeland Road Upper Marlboro, MD 20774",8,520,8/1/2020,1
1/29/2020,531311,Oakwood Worldwide (US) LP,"888 Airport Park Road Suite A                         Glen Burnie, MD 21061",1,2,3/30/2020,2
2/11/2020,492110,"Fedex Ground Package System, Inc.","4801 Hollins Ferry Road  Halethorpe, MD 21227",2,130,4/18/2020,1
2/18/2020,811111,Transform SR LLC-06063                  (Sears Auto Center),"11170 Mall Circle Waldorf, MD 20603",9,10,4/12/2020,1
2/18/2020,452210,Transform SR LLC-01074                  (Sears Department Store),"11170 Mall Circle Waldorf, MD 20603",9,58,4/12/2020,1
3/5/2020,624190,Salvation Army Adult Rehabilitation Centers,"10912 York Road     Cockeysville, MD 21030",2,11,5/30/2020,1
3/5/2020,624190,Salvation Army Adult Rehabilitation Centers,"2250 Gable Avenue     Baltimore, MD 21230",3,17,5/30/2020,1
3/5/2020,624190,Salvation Army Adult Rehabilitation Centers,"2700 W. Patapsco Ave  Baltimore, MD 21230",3,31,5/30/2020,1
3/9/2020,442110,Wolf Furniture,"2400 Churchville Road                   Bel Air, MD 21015",10,17,5/9/2020,1
3/9/2020,442110,Wolf Furniture,"6415 Baltimore National Pike   Catonsville, MD 21228",2,19,5/9/2020,1
3/9/2020,442110,Wolf Furniture,"1215 W. Patrick Street       Frederick, MD 21702",4,21,5/9/2020,1
3/9/2020,442110,Wolf Furniture,"900 Premimum Outlets Blvd.      Hagerstown, MD 21740",12,24,5/9/2020,1
3/9/2020,442110,Wolf Furniture,"8038 Ritchie Highway         Pasadena, MD 21122",1,27,5/9/2020,1
3/9/2020,442110,Wolf Furniture,"1530 E. Joppa Road                 Towson, MD 21286",2,26,5/9/2020,1
3/9/2020,442110,Wolf Furniture,"1030 Baltimore Blvd.         Westminster, MD 21157",6,17,5/9/2020,1
3/18/2020,611620,Silver Spring Gymnastics & Fitness,"2701 Pittman Drive           Silver Spring, MD 20910",7,88,3/16/2020,2
3/18/2020,812930,SP Plus Corporation,"101 MGM National Avenue   Oxon Hill, MD 20745",8,85,3/15/2020,2
